tiêu đề,link truyện,thể loại,mô tả,link ảnh
Buff May Mắn,https://goctruyentranhvui16.com/truyen/buff-may-man,"Hành Động, Manhua, Phiêu Lưu",Updating,https://goctruyentranhvui16.com/image/buff-may-man-0000964427-14-03-2025/1R2xicrmnhyPu0eaoqRYOpn2wVNo6Mlf9?code=gtt-yes
Tôi Là Người Chơi Leo Tháp Một Mình,https://goctruyentranhvui16.com/truyen/toi-la-nguoi-choi-leo-thap-mot-minh,"Manhwa, Viễn Tưởng, Shounen, Game","Sau khi bị mắc kẹt trong 12 năm trong một tòa tháp đầy quái vật tái sinh, Hyeonu Kim mạnh mẽ hơn bất kỳ con người hay quái vật nào trên Trái đất. Giờ đây, khi được tự do, anh ta quyết tâm tìm ra kẻ đứng sau việc giam cầm mình, ngay cả khi điều đó có nghĩa là anh ta phải giết lũ quái vật - và vô tình cứu thế giới - trên đường đi. Một thợ săn bị mắc kẹt trong tháp hướng dẫn do một lời nguyền. Rời khỏi tòa tháp sau 12 năm!",https://goctruyentranhvui16.com/image/toi-la-nguoi-choi-leo-thap-mot-minh-0000042445-25-04-2021/1wLYzNH7sIkN2ngKzep08Dndz252z2dd5?code=gtt-yes
Diễn Viên Thiên Tài Mang Lại Bất Hạnh,https://goctruyentranhvui16.com/truyen/dien-vien-thien-tai-mang-lai-bat-hanh,"Huyền Bí, Manhwa, Drama, Shounen","“Bạn sẽ bị tổn thương nếu bạn ở gần anh ấy.” “Tôi không biết tại sao anh ấy lại xui xẻo như vậy.” “Yeonjae, tôi sợ bạn…” “Lee Yeonjae,” bị mọi người tránh xa như thể chỉ cần ở gần anh ấy là sẽ gặp xui xẻo. Ngay cả anh ấy cũng thấy kỳ lạ. Tại sao...",https://goctruyentranhvui16.com/image/dien-vien-thien-tai-mang-lai-bat-hanh-0000850940-26-12-2024/1I8B9eNNUFlaC0bcjRsD4CAtlQaR42sEV?code=gtt-yes
Câu Lạc Bộ Truyện Ma,https://goctruyentranhvui16.com/truyen/cau-lac-bo-truyen-ma,"Shounen, Huyền Bí, Kinh Dị, Học Đường, Manhwa, Siêu Nhiên","Lee Joon là một học sinh trung học bình thường. Trong buổi lễ nhập học, anh ta bị cuốn vào một hiện tượng kỳ lạ và chết. [Bạn đã chết.] [Đang khởi động lại từ trạm kiểm soát.] [Đang tải…] Nhưng sau đó, một thông báo hiện ra trước mắt anh. 『Chúc mừng bạn đã được nhận vào học tại Nakseong Highschool, ngôi trường của những bí mật và bí ẩn. Khám phá những bí mật mờ ám ẩn trong trường hoặc chiến đấu chống lại những truyền thuyết và câu chuyện ma trong khuôn viên trường để kiếm điểm để mở khóa các khả năng đặc biệt. Ngoài ra, bạn phải tập hợp đồng đội để ngăn chặn sự phục sinh của Quỷ Vương trước khi tốt nghiệp. Thế giới nằm trong tay bạn. 』",https://goctruyentranhvui16.com/image/cau-lac-bo-truyen-ma-0000257235-13-08-2022/1HvJFtZs9P1MOqAOMfCScIogDzzN_6U3t?code=gtt-yes
Thần Khí Huyền Thoại Của Người Chơi Thiên Tài,https://goctruyentranhvui16.com/truyen/than-khi-huyen-thoai-cua-nguoi-choi-thien-tai,"Phiêu Lưu, Manhwa, Huyền Bí, Võ Thuật, Hành Động","Nhà giả kim vô pháp thuật cấp độ 1, Kim Simun Vào ngày Trái đất bị phá hủy, anh đã tạo ra Hòn đá triết gia, có thể biến mọi thứ thành có thể, miễn là thỏa mãn được sự trao đổi tương đương. ""Mọi thứ đều có thể, anh nói vậy sao?"" Điều anh muốn ngay bây giờ là trả thù kẻ phản diện đã phá hủy Trái đất và giết chết em trai mình, và sống một cuộc sống không vô pháp thuật! Anh nghĩ rằng mình đã kết thúc cuộc đời chỉ toàn hối tiếc... Nhưng khi mở mắt ra, anh thấy mình đã quay trở lại 11 năm trước? ""Lần này..."" Anh sẽ sửa chữa cuộc sống khốn khổ của mình như một người vô pháp thuật, và thay đổi tất cả những sự kiện không may sắp xảy ra!",https://goctruyentranhvui16.com/image/than-khi-huyen-thoai-cua-nguoi-choi-thien-tai-0000896877-27-01-2025/1aJ34pwtJa9MKyvlqEo6uS9nRWlNypcdd?code=gtt-yes
Thiên Ma 3077,https://goctruyentranhvui16.com/truyen/thien-ma-3077,"Huyền Bí, Phiêu Lưu, Manhwa, Viễn Tưởng, Hành Động","Sau vô số năm, Thiên Ma bị phong ấn trong Thái Sơn cuối cùng cũng thức tỉnh, chỉ để phát hiện ra rằng loài người đã từ bỏ Trái Đất ngập tràn phóng xạ từ lâu và hiện đang khám phá những vùng xa xôi của thiên hà.",https://goctruyentranhvui16.com/image/thien-ma-3077-0000652848-21-08-2024/15EfTdXDs6_XnwSrgtGp86UZHXKbf-xne?code=gtt-yes
Kẻ Thống Trị Kịch Bản,https://goctruyentranhvui16.com/truyen/ke-thong-tri-kich-ban,"Phiêu Lưu, Drama, Hài Hước, Manhwa","“Jae-hee, sao lúc nào anh cũng mang theo hai kịch bản thế?” “Ờ, tôi có thể làm mất một cái.” Nói dối đấy. Một cái để mang theo khi đi quay và khoe với người khác. Cái còn lại là… [Phim truyền hình ‘Youth Train’ có thể xem được.] [Anh có muốn xem không?] Tôi dùng để xem. Tôi đọc ngấu nghiến kịch bản, biến nó thành của riêng mình. Câu chuyện về Jae-hee, một diễn viên có thể xem hết 100% kịch bản.",https://goctruyentranhvui16.com/image/ke-thong-tri-kich-ban-0000987115-29-03-2025/1Bta66ZbroX62EDw1i5VuTqV46-fV1aph?code=gtt-yes
Hoạn Quan Hồi Quy: Tróc Phong Truy Nguyệt,https://goctruyentranhvui16.com/truyen/hoan-quan-hoi-quy--troc-phong-truy-nguyet,"Trùng Sinh, Manhwa, Hành Động, Phiêu Lưu, Võ Thuật, Hài Hước","Hắn là một Cựu Thái Giám Hồi Quy nhằm khôi phục Bản Lĩnh Đàn Ông của mình, Sau khi bị ô tô đâm, hắn chuyển sinh thành một tên thái giám quyền lực nhất thiên hạ chỉ sau hoàng đế, có thể nói là ""Trên Vạn Người Dưới Một Người"". Các độc giả hãy cùng đón xem diễn biến câu chuyện sẽ diễn ra như nào nếu tên Hoạn Quan này lại hồi quy một lần nữa nhé!!!",https://goctruyentranhvui16.com/image/hoan-quan-hoi-quy--troc-phong-truy-nguyet-0000738181-30-09-2024/1zy9RtJpNjPv0HT3C-gaiX2FWy9fuep_v?code=gtt-yes
Nhà Hàng Âm Phủ,https://goctruyentranhvui16.com/truyen/nha-hang-am-phu,"Manhwa, Phiêu Lưu, Hài Hước","8...8...8,2 tỷ ư? Một toà nhà 8,2tỷ bất ngờ xuất hiện trên thế giới này!! Và… nhà hàng? Hành vi của những vị khách đến nhà hàng vô cùng đáng nghi và hoàn toàn đầy sự khó hiểu……. Nó diễn ra tại giữa Seoul Câu chuyện cảm động lạnh cả xương sống Mỗi ngày từ 11 giờ đêm đến 1 giờ sáng Nhà hàng nơi suối vàng , từ bây giờ bắt đầu kinh doanh!",https://goctruyentranhvui16.com/image/nha-hang-am-phu-0000592621-25-07-2024/1lvgsG3DrLJgbQgmZUQPEWKRSgRNFIb9-?code=gtt-yes
Truyền Võ,https://goctruyentranhvui16.com/truyen/truyen-vo,"Phiêu Lưu, Manhua, Võ Thuật, Hành Động","""Truyền Võ"" là bộ truyện tranh manhua thuộc thể loại huyền huyễn, tu tiên. Hắn nói: ""Trên thế giới giới không nên có quỷ"". Sau đó, thế giới này dần trở nên trong sạch.",https://goctruyentranhvui16.com/image/truyen-vo-0000816510-14-11-2024/1rxEA-9BQK-AiE72pFoOFvYJOFtFN7bmt?code=gtt-yes
Máu lạnh,https://goctruyentranhvui16.com/truyen/mau-lanh,"Huyền Bí, Võ Thuật, Lịch Sử, Manga, Hành Động, Bi Kịch","Vó ngựa chinh phạt trời Âu của Mông Cổ bị ngăn bước bởi dịch bệnh quái ác biến Thiết Mộc Chân thành quái vật sợ ánh sáng mặt trời và tự kết liễu đời mình, trước cuộc chiến với kẻ thù không tên này, liệu đế chế Mông Cổ sẽ đối phó ra sao?",https://goctruyentranhvui16.com/image/mau-lanh-0000988069-30-03-2025/1MrKXU_WOtkNAFquj8TPAU_aBgOPixBBj?code=gtt-yes
Đồ Đệ Của Ta Đều Là Đại Phản Phái,https://goctruyentranhvui16.com/truyen/do-de-cua-ta-deu-la-dai-phan-phai,"Hành Động, Manhua, Huyền Bí, Viễn Tưởng","Lục Châu tỉnh lại sau giấc ngủ, bỗng trở thành tổ sư gia ma đầu cường đại nhất, già nhất, thế gian; còn có chín tên đồ đệ với tội ác chồng chất, uy chấn thiên hạ . Đại đồ đệ là giáo chủ của U Minh giáo, có thủ hạ là ngàn vạn ma chúng, nhị đồ đệ Kiếm Ma một lời không hợp liền khai sát giới...... Không có một thân tu vi, làm thế nào để điều giáo đám ác đồ này đây. Đại đồ đệ Vu Chính Hải: Lão phu cả đời này đánh đâu thắng đó, ngoại sư phụ lão nhân gia ông ta ra, thì ai cũng đừng hòng cưỡi lên đầu ta. Thất đồ đệ Tư Vô Nhai: Sư phụ bất tử, bọn ta ăn ngủ không yên mà......",https://goctruyentranhvui16.com/image/do-de-cua-ta-deu-la-dai-phan-phai-0000547255-07-06-2024/1B6UPepnU0Dyce3XyQ2qrXGCbFEmA3-24?code=gtt-yes
Trở Lại Thành Người Chơi,https://goctruyentranhvui16.com/truyen/tro-lai-thanh-nguoi-choi,"Webtoons, Phiêu Lưu, Manhwa, Hành Động","Một ngày nọ cả thế giới bỗng trờ thành một trò chơi. Quái vật xuất hiện và bắt đầu giết chóc, con người trở thành nhân vật trong trò chơi ấy và bị buộc phải thực hiện các nhiệm vụ. Một người chơi tên Kim Sehan sau khi hoàn thành trò chơi đã được trao cho cơ hội thứ hai sau khi loài người bị tuyệt diệt. Liệu anh ta có thể chiến thắng thế lực đã khiến cả thế giới biến thành chiến trường?",https://goctruyentranhvui16.com/image/tro-lai-thanh-nguoi-choi-0000025775-2021-02-/1p69TrHOBY_66yYbEASXulVbAC0ySALHL?code=gtt-yes
Chế Ngự Kiếm,https://goctruyentranhvui16.com/truyen/che-ngu-kiem,"Manhwa, Phiêu Lưu, Hành Động, Võ Thuật","Nhân vật chính của truyện luôn được định trước. Dù nhân vật phụ có cố gắng bao nhiêu thì vẫn chỉ là nhân vật phụ mà thôi. Nhưng một ngày điều đó đã thay đổi. [Leon, ngươi nghĩ mình đủ khả năng sao?] Kiếm thánh đáng ra phải chọn người hùng trong lời tiên tri lại về tay hắn. Gì cơ? Bạn bất tài, nghèo khó và chẳng có ai chống lưng á? Đừng lo! Người hùng với thanh kiếm thánh có thể giải quyết mọi chuyện tới rồi đây! “...Có một khoảng thời gian ta cũng nghĩ như vậy. ” Đây là nơi bắt đầu của hành trình người hùng của Leon.",https://goctruyentranhvui16.com/image/che-ngu-kiem-0000201101-05-06-2022/1ODb68XC_D3il9Le8LiTKE_8SaLkRdKku?code=gtt-yes
Phản Diện Tóc Vàng Trong Tiểu Thuyết Phượng Ngạo Thiên Cũng Muồn Hạnh Phúc,https://goctruyentranhvui16.com/truyen/phan-dien-toc-vang-trong-tieu-thuyet-phuong-ngao-thien-cung-muon-hanh-phuc,"Drama, Phiêu Lưu, Hành Động, Hài Hước, Manhwa",Updating,https://goctruyentranhvui16.com/image/phan-dien-toc-vang-trong-tieu-thuyet-phuong-ngao-thien-cung-muon-hanh-phuc-0000943589-28-02-2025/1mo01dap0QdNCBUrehMgCG3FbiQUyYztS?code=gtt-yes
Xích Nguyệt,https://goctruyentranhvui16.com/truyen/xich-nguyet,"Hành Động, Drama, Manhwa, Huyền Bí","Tổ chức tuyệt đối “Xích Nguyệt”, huy động các thành viên với sức mạnh của glia, một loại siêu năng lực, khiến ngay cả tổng thống cũng phải quỳ gối! Đất nước này đã trở thành 'Đất nước của Xích Nguyệt'. Chính phủ đang tìm cách tiêu diệt Xích Nguyệt, cội rễ của cái ác. Một người có tiềm năng tương đương với Shin Young-woo, chủ tịch của Xích Nguyệt. Họ phát hiện ra Ryu Si-hwan và phát triển một loại thuốc mới sử dụng máu của anh ấy để trở nên trẻ hơn. Với loại thuốc mới đó, chủ nhân cũ đã dồn Shin Young-woo vào quá khứ và thế hệ thứ 4 của những kẻ bất lương, trở lại thời trẻ của mình. Liệu những kẻ bất lương thế hệ thứ 4 có thể nâng cao tiềm năng của Ryu Si-hwan và phá hủy Xích Nguyệt?",https://goctruyentranhvui16.com/image/xich-nguyet-0000161003-04-04-2022/18_1otRWr-1WiOISTVHOS2OX55e8b1_uO?code=gtt-yes
